Week Starting,Has Study,Notes
2025-09-01,No,Prayer Meeting
2025-09-08,Yes,
2025-09-15,Yes,
2025-09-22,Yes,
2025-09-29,No,Prayer Meeting
2025-10-06,Yes,
2025-10-13,Yes,
2025-10-20,Yes,
2025-10-27,Yes,
2025-11-03,No,Prayer Meeting
2025-11-10,Yes,
2025-11-17,Yes,
2025-11-24,Yes,
2025-12-01,No,Prayer Meeting
2025-12-08,Yes,
2025-12-15,Yes,
2025-12-22,No,Christmas break
2025-12-29,No,Christmas break
2026-01-05,No,Prayer Meeting
2026-01-12,Yes,
2026-01-19,Yes,
2026-01-26,Yes,
2026-02-02,No,Prayer Meeting
2026-02-09,Yes,
2026-02-16,Yes,
2026-02-23,Yes,
2026-03-02,No,Prayer Meeting
2026-03-09,Yes,
2026-03-16,Yes,
2026-03-23,Yes,
2026-03-30,No,Prayer Meeting
2026-04-06,No,Easter break
2026-04-13,No,Easter break
2026-04-20,Yes
2026-04-27,Yes,
2026-05-04,No,Prayer Meeting
2026-05-11,Yes,
2026-05-18,Yes,
2026-05-25,Yes,
2026-06-01,No,Prayer Meeting
2026-06-08,Yes,
2026-06-15,Yes,
2026-06-22,Yes,
2026-06-29,Yes,
2026-07-06,No,Prayer Meeting
2026-07-13,Yes,
2026-07-20,No,DG End-of-Year Party